name,views,run_time,hours_viewed
Wednesday: Season 1,"252,100,000",6:49,"1,718,800,000"
Adolescence: Limited Series,"142,600,000",3:50,"546,500,000"
Stranger Things 4,"140,700,000",13:04,"1,838,000,000"
DAHMER: Monster: The Jeffrey Dahmer Story,"115,600,000",8:55,"1,031,100,000"
Bridgerton: Season 1,"113,300,000",8:12,"929,300,000"
The Queen's Gambit: Limited Series,"112,800,000",6:37,"746,400,000"
Bridgerton: Season 3,"106,000,000",7:59,"846,500,000"
The Night Agent: Season 1,"98,200,000",8:11,"803,200,000"
Fool Me Once: Limited Series,"98,200,000",6:25,"629,800,000"
Stranger Things 3,"94,800,000",7:33,"716,100,000"
